Prefix,ISO,Desc,InternalRost,Rate
1204283,,canada,0.0017,0.0051
1204284,,canada,0.0017,0.0051
1204285,,canada,0.0017,0.0051
1204286,,canada,0.00204,0.00612
1204287,,canada,0.0017,0.0051
1204288,,canada,0.00203,0.00609
1204289,,canada,0.0017,0.0051
120429,,canada,0.0017,0.0051
1204300,,canada,0.00201,0.00603
1204301,,canada,0.00204,0.00612
1204302,,canada,0.00203,0.00609
1204303,,canada,0.00203,0.00609
1204304,,canada,0.00204,0.00612
1204305,,canada,0.00203,0.00609
1204307,,canada,0.00204,0.00612
1204308,,canada,0.00203,0.00609
1204309,,canada,0.00204,0.00612
1204310,,canada,0.00322,0.00966
1204311,,canada,0.00334,0.01002
1204312,,canada,0.0017,0.0051
1204313,,canada,0.00201,0.00603
1204314,,canada,0.00179,0.00537
1204315,,canada,0.0017,0.0051
1204316,,canada,0.00178,0.00534
1204317,,canada,0.00201,0.00603
1204318,,canada,0.0017,0.0051
1204319,,canada,0.00189,0.00567
1204320,,canada,0.00204,0.00612
1204321,,canada,0.00203,0.00609
1204322,,canada,0.00201,0.00603
1204323,,canada,0.00201,0.00603
1204324,,canada,0.00201,0.00603
1204325,,canada,0.00204,0.00612
1204326,,canada,0.00204,0.00612
1204327,,canada,0.00204,0.00612
1204328,,canada,0.00204,0.00612
1204329,,canada,0.00203,0.00609
1204330,,canada,0.0017,0.0051
1204331,,canada,0.00194,0.00582
1204332,,canada,0.0019,0.0057
1204333,,canada,0.0017,0.0051
1204334,,canada,0.0017,0.0051
1204335,,canada,0.00201,0.00603
1204336,,canada,0.0017,0.0051
1204337,,canada,0.00201,0.00603
1204338,,canada,0.0017,0.0051
1204339,,canada,0.0017,0.0051
1204340,,canada,0.00203,0.00609
1204341,,canada,0.00204,0.00612
1204342,,canada,0.00198,0.00594
1204343,,canada,0.00203,0.00609
1204344,,canada,0.00179,0.00537
1204345,,canada,0.00199,0.00597
1204346,,canada,0.00204,0.00612
1204347,,canada,0.00203,0.00609
1204348,,canada,0.00204,0.00612
1204349,,canada,0.00195,0.00585
1204350,,canada,0.00201,0.00603
1204351,,canada,0.00201,0.00603
1204352,,canada,0.00204,0.00612
1204353,,canada,0.00198,0.00594
1204354,,canada,0.00204,0.00612
1204355,,canada,0.00203,0.00609
1204356,,canada,0.00203,0.00609
1204357,,canada,0.00201,0.00603
1204358,,canada,0.00204,0.00612
1204359,,canada,0.00204,0.00612
1204360,,canada,0.0017,0.0051
1204361,,canada,0.00191,0.00573
1204362,,canada,0.00204,0.00612
1204363,,canada,0.00198,0.00594
1204364,,canada,0.00201,0.00603
1204365,,canada,0.00201,0.00603
1204366,,canada,0.00201,0.00603
1204367,,canada,0.00191,0.00573
1204368,,canada,0.00203,0.00609
1204369,,canada,0.00203,0.00609
1204370,,canada,0.00204,0.00612
1204371,,canada,0.00204,0.00612
1204372,,canada,0.00203,0.00609
1204373,,canada,0.00201,0.00603
1204374,,canada,0.00201,0.00603
1204375,,canada,0.00204,0.00612
1204376,,canada,0.00201,0.00603
1204377,,canada,0.00198,0.00594
1204378,,canada,0.00189,0.00567
1204379,,canada,0.00198,0.00594
1204380,,canada,0.00204,0.00612
1204381,,canada,0.00176,0.00528
1204382,,canada,0.00201,0.00603
1204383,,canada,0.00198,0.00594
1204384,,canada,0.0017,0.0051
1204385,,canada,0.00204,0.00612
1204386,,canada,0.00204,0.00612
1204387,,canada,0.00201,0.00603
1204388,,canada,0.0019,0.0057
1204389,,canada,0.00179,0.00537
1204390,,canada,0.00179,0.00537
1204391,,canada,0.00176,0.00528
1204392,,canada,0.00197,0.00591
1204393,,canada,0.00201,0.00603
1204394,,canada,0.00201,0.00603
1204395,,canada,0.00203,0.00609
1204396,,canada,0.0017,0.0051
1204397,,canada,0.00201,0.00603
1204398,,canada,0.00204,0.00612
1204399,,canada,0.0017,0.0051
1204400,,canada,0.00199,0.00597
1204401,,canada,0.00245,0.00735
1204402,,canada,0.00179,0.00537
1204403,,canada,0.0017,0.0051
1204404,,canada,0.00178,0.00534
1204405,,canada,0.0017,0.0051
1204406,,canada,0.00179,0.00537
1204407,,canada,0.00179,0.00537
1204408,,canada,0.00179,0.00537
1204409,,canada,0.00199,0.00597
1204410,,canada,0.00186,0.00558
1204411,,canada,0.00334,0.01002
1204412,,canada,0.00178,0.00534
1204413,,canada,0.00203,0.00609
1204414,,canada,0.00176,0.00528
1204415,,canada,0.0017,0.0051
1204416,,canada,0.00179,0.00537
1204417,,canada,0.0017,0.0051
1204418,,canada,0.0017,0.0051
1204419,,canada,0.00179,0.00537
1204420,,canada,0.00201,0.00603
1204421,,canada,0.00179,0.00537
1204422,,canada,0.00204,0.00612
1204423,,canada,0.00204,0.00612
1204424,,canada,0.00204,0.00612
1204425,,canada,0.00203,0.00609
1204426,,canada,0.00201,0.00603
1204427,,canada,0.00194,0.00582
1204428,,canada,0.00201,0.00603
1204429,,canada,0.00204,0.00612
1204430,,canada,0.00178,0.00534
1204432,,canada,0.00201,0.00603
1204433,,canada,0.00201,0.00603
1204434,,canada,0.00201,0.00603
1204435,,canada,0.00201,0.00603
1204436,,canada,0.00201,0.00603
1204437,,canada,0.00201,0.00603
1204438,,canada,0.00201,0.00603
1204439,,canada,0.00189,0.00567
1204440,,canada,0.00198,0.00594
1204441,,canada,0.00179,0.00537
1204442,,canada,0.00198,0.00594
1204443,,canada,0.00179,0.00537
1204444,,canada,0.0017,0.0051
1204445,,canada,0.00203,0.00609
1204446,,canada,0.00179,0.00537
1204447,,canada,0.00204,0.00612
1204448,,canada,0.00201,0.00603
1204449,,canada,0.00204,0.00612
1204450,,canada,0.00204,0.00612
1204451,,canada,0.00179,0.00537
1204452,,canada,0.0017,0.0051
1204453,,canada,0.0017,0.0051
1204454,,canada,0.00179,0.00537
1204455,,canada,0.00204,0.00612
1204456,,canada,0.00209,0.00627
1204457,,canada,0.00201,0.00603
1204458,,canada,0.00203,0.00609
1204459,,canada,0.00201,0.00603
1204461,,canada,0.00179,0.00537
1204462,,canada,0.00204,0.00612
1204463,,canada,0.00198,0.00594
1204464,,canada,0.00179,0.00537
1204465,,canada,0.00198,0.00594
1204466,,canada,0.00203,0.00609
1204467,,canada,0.00179,0.00537
1204468,,canada,0.00203,0.00609
1204469,,canada,0.00197,0.00591
1204470,,canada,0.0017,0.0051
1204471,,canada,0.0017,0.0051
1204472,,canada,0.00203,0.00609
1204473,,canada,0.00199,0.00597
1204474,,canada,0.0017,0.0051
1204475,,canada,0.0017,0.0051
1204476,,canada,0.00203,0.00609
1204477,,canada,0.0017,0.0051
1204478,,canada,0.0017,0.0051
1204479,,canada,0.0017,0.0051
1204480,,canada,0.0017,0.0051
1204481,,canada,0.0017,0.0051
1204482,,canada,0.00203,0.00609
1204483,,canada,0.00193,0.00579
1204484,,canada,0.00204,0.00612
1204485,,canada,0.00203,0.00609
1204486,,canada,0.00201,0.00603
1204487,,canada,0.0017,0.0051
1204488,,canada,0.0017,0.0051
1204489,,canada,0.0017,0.0051
1204490,,canada,0.00179,0.00537
1204491,,canada,0.00198,0.00594
1204492,,canada,0.00194,0.00582
1204493,,canada,0.00198,0.00594
1204494,,canada,0.0017,0.0051
1204495,,canada,0.00198,0.00594
1204496,,canada,0.0017,0.0051
1204497,,canada,0.00193,0.00579
1204498,,canada,0.00189,0.00567
1204499,,canada,0.0017,0.0051
1204500,,canada,0.00204,0.00612
1204501,,canada,0.00189,0.00567
1204502,,canada,0.00189,0.00567
1204503,,canada,0.00201,0.00603
1204504,,canada,0.0017,0.0051
1204505,,canada,0.0017,0.0051
1204506,,canada,0.00188,0.00564
1204507,,canada,0.00188,0.00564
1204508,,canada,0.00188,0.00564
1204509,,canada,0.0017,0.0051
1204510,,canada,0.0017,0.0051
1204511,,canada,0.00334,0.01002
1204512,,canada,0.0017,0.0051
1204513,,canada,0.0017,0.0051
1204514,,canada,0.0017,0.0051
1204515,,canada,0.00202,0.00606
1204516,,canada,0.00188,0.00564
1204517,,canada,0.00188,0.00564
1204518,,canada,0.00201,0.00603
1204519,,canada,0.00188,0.00564
1204520,,canada,0.00188,0.00564
1204521,,canada,0.00188,0.00564
1204522,,canada,0.00201,0.00603
1204523,,canada,0.00204,0.00612
1204524,,canada,0.00204,0.00612
1204525,,canada,0.00204,0.00612
1204526,,canada,0.00204,0.00612
1204527,,canada,0.00188,0.00564
1204528,,canada,0.00199,0.00597
1204529,,canada,0.00194,0.00582
1204530,,canada,0.00188,0.00564
1204531,,canada,0.00204,0.00612
1204532,,canada,0.00204,0.00612
1204533,,canada,0.00204,0.00612
1204534,,canada,0.00201,0.00603
1204535,,canada,0.00201,0.00603
1204536,,canada,0.00201,0.00603
1204537,,canada,0.00203,0.00609
1204538,,canada,0.00204,0.00612
1204539,,canada,0.00204,0.00612
1204540,,canada,0.00188,0.00564
1204541,,canada,0.0017,0.0051
1204542,,canada,0.00188,0.00564
1204543,,canada,0.00188,0.00564
1204544,,canada,0.00189,0.00567
1204545,,canada,0.00203,0.00609
1204546,,canada,0.00201,0.00603
1204547,,canada,0.00201,0.00603
1204548,,canada,0.00204,0.00612
1204549,,canada,0.00199,0.00597
1204550,,canada,0.00201,0.00603
1204551,,canada,0.00201,0.00603
1204552,,canada,0.00203,0.00609
1204553,,canada,0.00201,0.00603
1204554,,canada,0.00209,0.00627
1204556,,canada,0.00204,0.00612
1204557,,canada,0.00178,0.00534
1204558,,canada,0.0017,0.0051
1204559,,canada,0.00198,0.00594
1204560,,canada,0.00201,0.00603
1204561,,canada,0.00201,0.00603
1204562,,canada,0.00204,0.00612
1204563,,canada,0.00204,0.00612
1204564,,canada,0.0019,0.0057
1204565,,canada,0.00201,0.00603
1204566,,canada,0.00204,0.00612
1204567,,canada,0.00198,0.00594
1204568,,canada,0.00204,0.00612
1204569,,canada,0.00204,0.00612
1204570,,canada,0.00198,0.00594
1204571,,canada,0.00195,0.00585
1204572,,canada,0.00198,0.00594
1204573,,canada,0.00206,0.00618
1204574,,canada,0.00204,0.00612
1204575,,canada,0.00204,0.00612
1204576,,canada,0.0017,0.0051
1204577,,canada,0.00201,0.00603
1204578,,canada,0.00189,0.00567
1204579,,canada,0.00201,0.00603
1204580,,canada,0.00204,0.00612
1204581,,canada,0.00184,0.00552
1204582,,canada,0.0017,0.0051
1204583,,canada,0.00194,0.00582
1204585,,canada,0.00199,0.00597
1204586,,canada,0.0017,0.0051
1204587,,canada,0.00201,0.00603
1204588,,canada,0.00179,0.00537
1204589,,canada,0.0017,0.0051
1204590,,canada,0.00203,0.00609
1204591,,canada,0.00198,0.00594
1204592,,canada,0.00198,0.00594
1204593,,canada,0.00198,0.00594
1204594,,canada,0.0017,0.0051
1204595,,canada,0.00179,0.00537
1204596,,canada,0.00194,0.00582
1204597,,canada,0.00189,0.00567
1204598,,canada,0.00201,0.00603
1204599,,canada,0.00179,0.00537
1204600,,canada,0.00245,0.00735
1204601,,canada,0.00201,0.00603
1204602,,canada,0.0019,0.0057
1204603,,canada,0.00201,0.00603
1204604,,canada,0.00189,0.00567
1204605,,canada,0.00189,0.00567
1204606,,canada,0.00186,0.00558
1204607,,canada,0.00201,0.00603
1204608,,canada,0.0019,0.0057
1204609,,canada,0.00201,0.00603
1204611,,canada,0.00334,0.01002
1204612,,canada,0.0017,0.0051
1204613,,canada,0.0019,0.0057
1204614,,canada,0.0024,0.0072
1204615,,canada,0.0019,0.0057
1204616,,canada,0.00201,0.00603
1204617,,canada,0.00191,0.00573
1204618,,canada,0.00204,0.00612
1204619,,canada,0.0017,0.0051
1204620,,canada,0.00204,0.00612
1204621,,canada,0.00197,0.00591
1204622,,canada,0.00204,0.00612
1204623,,canada,0.00201,0.00603
1204624,,canada,0.00204,0.00612
1204625,,canada,0.00203,0.00609
1204626,,canada,0.00204,0.00612
1204627,,canada,0.00204,0.00612
1204628,,canada,0.00179,0.00537
1204629,,canada,0.00201,0.00603
1204630,,canada,0.0019,0.0057
1204631,,canada,0.0017,0.0051
1204632,,canada,0.0017,0.0051
1204633,,canada,0.0017,0.0051
1204634,,canada,0.00204,0.00612
1204635,,canada,0.00201,0.00603
1204636,,canada,0.00193,0.00579
1204637,,canada,0.00201,0.00603
1204638,,canada,0.00204,0.00612
1204639,,canada,0.00202,0.00606
1204640,,canada,0.00201,0.00603
1204641,,canada,0.00204,0.00612
1204642,,canada,0.00201,0.00603
1204643,,canada,0.00199,0.00597
1204644,,canada,0.00194,0.00582
1204645,,canada,0.00204,0.00612
1204646,,canada,0.00201,0.00603
1204647,,canada,0.0017,0.0051
1204648,,canada,0.00203,0.00609
1204649,,canada,0.00204,0.00612
1204650,,canada,0.00186,0.00558
1204651,,canada,0.0017,0.0051
1204652,,canada,0.00203,0.00609
1204653,,canada,0.00201,0.00603
1204654,,canada,0.0017,0.0051
1204655,,canada,0.00204,0.00612
1204656,,canada,0.00179,0.00537
1204657,,canada,0.00204,0.00612
1204658,,canada,0.00204,0.00612
1204659,,canada,0.00204,0.00612
1204660,,canada,0.00189,0.00567
1204661,,canada,0.0017,0.0051
1204662,,canada,0.00199,0.00597
1204663,,canada,0.0017,0.0051
1204664,,canada,0.00204,0.00612
1204665,,canada,0.00201,0.00603
1204666,,canada,0.0017,0.0051
1204667,,canada,0.0017,0.0051
1204668,,canada,0.0017,0.0051
1204669,,canada,0.0017,0.0051
1204670,,canada,0.00199,0.00597
1204671,,canada,0.00203,0.00609
1204672,,canada,0.00186,0.00558
1204673,,canada,0.00204,0.00612
1204675,,canada,0.00201,0.00603
1204676,,canada,0.00204,0.00612
1204677,,canada,0.00203,0.00609
1204678,,canada,0.00204,0.00612
1204679,,canada,0.00204,0.00612
1204680,,canada,0.00206,0.00618
1204681,,canada,0.00204,0.00612
1204682,,canada,0.00199,0.00597
1204683,,canada,0.00204,0.00612
1204684,,canada,0.00201,0.00603
1204685,,canada,0.00204,0.00612
1204686,,canada,0.00204,0.00612
1204687,,canada,0.00204,0.00612
1204688,,canada,0.0017,0.0051
1204689,,canada,0.00201,0.00603
1204690,,canada,0.00186,0.00558
1204691,,canada,0.00196,0.00588
1204692,,canada,0.00198,0.00594
1204693,,canada,0.0017,0.0051
1204694,,canada,0.0017,0.0051
1204695,,canada,0.0017,0.0051
1204696,,canada,0.00201,0.00603
1204697,,canada,0.00176,0.00528
1204698,,canada,0.00198,0.00594
1204699,,canada,0.00204,0.00612
1204700,,canada,0.00201,0.00603
1204701,,canada,0.00201,0.00603
1204702,,canada,0.00179,0.00537
1204703,,canada,0.00204,0.00612
1204704,,canada,0.00201,0.00603
1204705,,canada,0.00201,0.00603
1204706,,canada,0.00178,0.00534
1204707,,canada,0.00204,0.00612
1204708,,canada,0.00203,0.00609
1204709,,canada,0.00203,0.00609
1204710,,canada,0.00201,0.00603
1204711,,canada,0.00334,0.01002
1204712,,canada,0.00204,0.00612
1204713,,canada,0.00201,0.00603
1204714,,canada,0.00243,0.00729
1204715,,canada,0.00201,0.00603
1204716,,canada,0.00204,0.00612
1204717,,canada,0.00209,0.00627
1204718,,canada,0.00204,0.00612
1204719,,canada,0.00204,0.00612
1204720,,canada,0.0017,0.0051
1204721,,canada,0.0017,0.0051
1204722,,canada,0.00199,0.00597
1204723,,canada,0.00203,0.00609
1204724,,canada,0.00203,0.00609
1204725,,canada,0.00203,0.00609
1204726,,canada,0.00204,0.00612
1204727,,canada,0.00204,0.00612
1204728,,canada,0.00202,0.00606
1204729,,canada,0.00203,0.00609
1204730,,canada,0.00178,0.00534
1204731,,canada,0.00181,0.00543
1204732,,canada,0.00204,0.00612
1204733,,canada,0.00204,0.00612
1204734,,canada,0.00204,0.00612
1204735,,canada,0.00179,0.00537
1204736,,canada,0.00179,0.00537
1204737,,canada,0.00198,0.00594
1204738,,canada,0.00203,0.00609
1204739,,canada,0.00203,0.00609
1204740,,canada,0.00206,0.00618
1204741,,canada,0.00204,0.00612
1204742,,canada,0.00203,0.00609
1204743,,canada,0.00204,0.00612
1204744,,canada,0.00201,0.00603
1204745,,canada,0.0021,0.0063
1204746,,canada,0.00203,0.00609
1204747,,canada,0.00204,0.00612
1204748,,canada,0.00201,0.00603
1204749,,canada,0.00195,0.00585
1204750,,canada,0.00203,0.00609
1204751,,canada,0.0017,0.0051
1204752,,canada,0.00201,0.00603
1204753,,canada,0.00198,0.00594
1204754,,canada,0.00203,0.00609
1204755,,canada,0.00203,0.00609
1204756,,canada,0.00201,0.00603
1204757,,canada,0.00179,0.00537
1204758,,canada,0.00203,0.00609
1204759,,canada,0.00204,0.00612
1204760,,canada,0.0017,0.0051
1204761,,canada,0.00197,0.00591
1204762,,canada,0.00201,0.00603
1204763,,canada,0.00204,0.00612
1204764,,canada,0.00201,0.00603
1204765,,canada,0.00199,0.00597
1204766,,canada,0.00203,0.00609
1204767,,canada,0.00204,0.00612
1204768,,canada,0.00203,0.00609
1204769,,canada,0.00203,0.00609
1204770,,canada,0.0017,0.0051
1204771,,canada,0.0017,0.0051
1204772,,canada,0.0017,0.0051
1204773,,canada,0.00203,0.00609
1204774,,canada,0.0017,0.0051
1204775,,canada,0.0017,0.0051
1204776,,canada,0.00203,0.00609
1204777,,canada,0.0017,0.0051
1204778,,canada,0.00203,0.00609
1204779,,canada,0.0017,0.0051
1204780,,canada,0.0017,0.0051
1204781,,canada,0.0017,0.0051
1204782,,canada,0.0017,0.0051
1204783,,canada,0.0017,0.0051
1204784,,canada,0.0017,0.0051
1204785,,canada,0.00203,0.00609
1204786,,canada,0.0017,0.0051
1204787,,canada,0.0017,0.0051
1204788,,canada,0.0017,0.0051
1204789,,canada,0.0017,0.0051
120479,,canada,0.0017,0.0051
1204800,,canada,0.0017,0.0051
1204801,,canada,0.0017,0.0051
1204802,,canada,0.0017,0.0051
1204803,,canada,0.0017,0.0051
1204804,,canada,0.0017,0.0051
1204805,,canada,0.00179,0.00537
1204806,,canada,0.00179,0.00537
1204807,,canada,0.0017,0.0051
1204808,,canada,0.00179,0.00537
1204809,,canada,0.00179,0.00537
1204811,,canada,0.00334,0.01002
1204812,,canada,0.00201,0.00603
1204813,,canada,0.0017,0.0051
1204814,,canada,0.00201,0.00603
1204815,,canada,0.00186,0.00558
1204816,,canada,0.00253,0.00759
1204817,,canada,0.0017,0.0051
1204818,,canada,0.00179,0.00537
1204819,,canada,0.00248,0.00744
1204820,,canada,0.00201,0.00603
1204821,,canada,0.00195,0.00585
1204822,,canada,0.00201,0.00603
1204823,,canada,0.00204,0.00612
1204824,,canada,0.00204,0.00612
1204825,,canada,0.00193,0.00579
1204826,,canada,0.00203,0.00609
1204827,,canada,0.00201,0.00603
1204828,,canada,0.00203,0.00609
1204829,,canada,0.00203,0.00609
1204830,,canada,0.00186,0.00558
1204831,,canada,0.0017,0.0051
1204832,,canada,0.0017,0.0051
1204833,,canada,0.0017,0.0051
1204834,,canada,0.00209,0.00627
1204835,,canada,0.00203,0.00609
1204836,,canada,0.00201,0.00603
1204837,,canada,0.0017,0.0051
1204838,,canada,0.00195,0.00585
1204839,,canada,0.00179,0.00537
1204840,,canada,0.00179,0.00537
1204841,,canada,0.00204,0.00612
1204842,,canada,0.00203,0.00609
1204843,,canada,0.00198,0.00594
1204844,,canada,0.00201,0.00603
1204845,,canada,0.00201,0.00603
1204846,,canada,0.00181,0.00543
1204847,,canada,0.00198,0.00594
1204848,,canada,0.00201,0.00603
1204849,,canada,0.0019,0.0057
120485,,canada,0.00219,0.00657
1204850,,canada,0.00204,0.00612
1204851,,canada,0.00204,0.00612
1204852,,canada,0.00204,0.00612
1204853,,canada,0.00179,0.00537
1204854,,canada,0.00199,0.00597
1204855,,canada,0.00198,0.00594
1204856,,canada,0.00199,0.00597
1204857,,canada,0.00198,0.00594
1204858,,canada,0.00204,0.00612
1204859,,canada,0.00204,0.00612
120486,,canada,0.00219,0.00657
1204860,,canada,0.00201,0.00603
1204861,,canada,0.00204,0.00612
1204862,,canada,0.00195,0.00585
1204863,,canada,0.00189,0.00567
1204864,,canada,0.00179,0.00537
1204865,,canada,0.00204,0.00612
1204866,,canada,0.00189,0.00567
1204867,,canada,0.00204,0.00612
1204868,,canada,0.00204,0.00612
1204869,,canada,0.00197,0.00591
1204870,,canada,0.00204,0.00612
1204871,,canada,0.00203,0.00609
1204872,,canada,0.00179,0.00537
1204873,,canada,0.00204,0.00612
1204874,,canada,0.00204,0.00612
1204875,,canada,0.00189,0.00567
1204876,,canada,0.00201,0.00603
1204877,,canada,0.00204,0.00612
1204878,,canada,0.00179,0.00537
1204880,,canada,0.0017,0.0051
1204881,,canada,0.00179,0.00537
1204882,,canada,0.00198,0.00594
1204883,,canada,0.00179,0.00537
1204884,,canada,0.00206,0.00618
1204885,,canada,0.0017,0.0051
1204886,,canada,0.00201,0.00603
1204887,,canada,0.0017,0.0051
1204888,,canada,0.0017,0.0051
1204889,,canada,0.0017,0.0051
1204890,,canada,0.0017,0.0051
1204891,,canada,0.0017,0.0051
1204892,,canada,0.00198,0.00594
1204893,,canada,0.00201,0.00603
1204894,,canada,0.0017,0.0051
1204895,,canada,0.0017,0.0051
1204896,,canada,0.0017,0.0051
1204897,,canada,0.0017,0.0051
1204898,,canada,0.0017,0.0051
1204899,,canada,0.0017,0.0051
1204901,,canada,0.00201,0.00603
1204902,,canada,0.00194,0.00582
1204903,,canada,0.00194,0.00582
1204904,,canada,0.00194,0.00582
1204905,,canada,0.00187,0.00561
1204906,,canada,0.00194,0.00582
1204907,,canada,0.00201,0.00603
1204908,,canada,0.00206,0.00618
1204909,,canada,0.00241,0.00723
1204910,,canada,0.0017,0.0051
1204911,,canada,0.00334,0.01002
1204912,,canada,0.00241,0.00723
1204913,,canada,0.00245,0.00735
1204914,,canada,0.00204,0.00612
1204915,,canada,0.00207,0.00621
1204916,,canada,0.00204,0.00612
1204917,,canada,0.00189,0.00567
1204918,,canada,0.0017,0.0051
1204919,,canada,0.0017,0.0051
1204920,,canada,0.0017,0.0051
1204921,,canada,0.00198,0.00594
1204922,,canada,0.00197,0.00591
1204923,,canada,0.00178,0.00534
1204924,,canada,0.0017,0.0051
1204925,,canada,0.0017,0.0051
1204926,,canada,0.0017,0.0051
1204927,,canada,0.0017,0.0051
1204928,,canada,0.0017,0.0051
1204929,,canada,0.0017,0.0051
1204930,,canada,0.00179,0.00537
1204931,,canada,0.0017,0.0051
1204932,,canada,0.0017,0.0051
1204933,,canada,0.0017,0.0051
1204934,,canada,0.0017,0.0051
1204935,,canada,0.0017,0.0051
1204936,,canada,0.0017,0.0051
1204937,,canada,0.00204,0.00612
1204938,,canada,0.0017,0.0051
1204939,,canada,0.0017,0.0051
120494,,canada,0.0017,0.0051
1204950,,canada,0.00334,0.01002
1204951,,canada,0.00176,0.00528
1204952,,canada,0.0017,0.0051
1204953,,canada,0.0017,0.0051
1204954,,canada,0.0017,0.0051
1204955,,canada,0.0017,0.0051
1204956,,canada,0.0017,0.0051
1204957,,canada,0.0017,0.0051
1204958,,canada,0.0017,0.0051
1204959,,canada,0.00334,0.01002
1204960,,canada,0.0017,0.0051
1204961,,canada,0.0017,0.0051
1204962,,canada,0.0017,0.0051
1204963,,canada,0.0017,0.0051
1204964,,canada,0.00199,0.00597
1204965,,canada,0.00199,0.00597
1204966,,canada,0.00204,0.00612
1204967,,canada,0.00201,0.00603
1204968,,canada,0.00204,0.00612
1204969,,canada,0.00197,0.00591
1204970,,canada,0.00198,0.00594
1204971,,canada,0.00198,0.00594
1204972,,canada,0.00201,0.00603
1204973,,canada,0.00199,0.00597
1204974,,canada,0.00204,0.00612
1204975,,canada,0.0017,0.0051
1204977,,canada,0.0017,0.0051
1204978,,canada,0.0017,0.0051
1204979,,canada,0.0017,0.0051
120498,,canada,0.0017,0.0051
1204990,,canada,0.0017,0.0051
1204991,,canada,0.00198,0.00594
1204992,,canada,0.0017,0.0051
1204993,,canada,0.00179,0.00537
1204994,,canada,0.00179,0.00537
1204995,,canada,0.0017,0.0051
1204996,,canada,0.0017,0.0051
1204997,,canada,0.0017,0.0051
1204998,,canada,0.0017,0.0051
1204999,,canada,0.0017,0.0051
1226,,canada,0.00345,0.01035
1226200,,canada,0.00176,0.00528
1226201,,canada,0.0017,0.0051
1226202,,canada,0.0017,0.0051
1226203,,canada,0.0017,0.0051
1226204,,canada,0.0017,0.0051
1226205,,canada,0.0017,0.0051
1226206,,canada,0.0017,0.0051
1226207,,canada,0.0017,0.0051
1226208,,canada,0.0017,0.0051
1226209,,canada,0.00182,0.00546
1226210,,canada,0.00179,0.00537
1226211,,canada,0.00334,0.01002
1226212,,canada,0.0017,0.0051
1226213,,canada,0.0017,0.0051
1226214,,canada,0.0017,0.0051
1226215,,canada,0.00239,0.00717
1226216,,canada,0.0017,0.0051
1226217,,canada,0.0017,0.0051
1226218,,canada,0.0017,0.0051
1226219,,canada,0.00182,0.00546
1226220,,canada,0.0017,0.0051
1226221,,canada,0.0017,0.0051
1226222,,canada,0.00179,0.00537
1226223,,canada,0.0017,0.0051
1226224,,canada,0.0017,0.0051
1226225,,canada,0.0017,0.0051
1226227,,canada,0.0017,0.0051
1226228,,canada,0.0017,0.0051
